对焦位置（0-100）	等待时间	串口返回	图像处理返回	与上一张清晰度对比	对焦清晰度返回	返回时间1	返回时间2	返回时间3	返回时间4	返回时间5	返回时间6	发送到返回时间	拍摄时间	存图时间	总拍照获取图像时间	图像处理时间	一次完整对焦拍照时间
0	50	0	0	0.00531385	7.71232	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.536	0.705
100	50	0	1	0.0349163	7.67741	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.53	0.699
0	50	0	0	0.0115536	7.66585	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.542	0.711
100	50	0	1	0.0268882	7.69274	0	0	0	0	0	0	0.051	0.001	0.123	0.124	0.545	0.72
0	50	0	0	0.0184954	7.67425	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.536	0.705
100	50	0	0	0.0167121	7.65753	0	0	0	0	0	0	0.051	0.001	0.231	0.232	0.591	0.874
0	50	0	0	0.0063684	7.6639	0	0	0	0	0	0	0.051	0.001	0.133	0.134	0.543	0.728
100	50	0	1	0.0271778	7.69108	0	0	0	0	0	0	0.052	0.002	0.121	0.123	0.568	0.743
0	50	0	0	0.0166165	7.67446	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.542	0.711
100	50	0	1	0.0350108	7.70948	0	0	0	0	0	0	0.053	0.001	0.118	0.119	0.537	0.709
0	50	0	1	0.0305104	7.67896	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.539	0.708
100	50	0	1	0.0378049	7.71677	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.555	0.724
0	50	0	0	0.00380393	7.72057	0	0	0	0	0	0	0.052	0.001	0.116	0.117	0.537	0.706
100	50	0	1	0.0315642	7.68901	0	0	0	0	0	0	0.051	0.002	0.117	0.119	0.549	0.719
0	50	0	0	0.000539343	7.68847	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.547	0.716
100	50	0	0	0.00723885	7.69571	0	0	0	0	0	0	0.052	0.001	0.121	0.122	0.54	0.714
0	50	0	0	0.00393457	7.69964	0	0	0	0	0	0	0.05	0.001	0.117	0.118	0.551	0.719
100	50	0	0	0.00757075	7.69207	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.543	0.712
0	50	0	0	0.0163048	7.70838	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.536	0.705
100	50	0	0	0.0256066	7.73398	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.538	0.708
0	50	0	0	0.00661952	7.72736	0	0	0	0	0	0	0.052	0.001	0.118	0.119	0.545	0.716
100	50	0	1	0.0411465	7.68622	0	0	0	0	0	0	0.051	0.001	0.127	0.128	0.551	0.73
0	50	0	0	0.00172753	7.68449	0	0	0	0	0	0	0.051	0.001	0.12	0.121	0.549	0.721
100	50	0	0	0.0192991	7.70379	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.553	0.723
0	50	0	0	0.0246566	7.67913	0	0	0	0	0	0	0.052	0.001	0.132	0.133	0.559	0.744
100	50	0	0	0.00756896	7.6867	0	0	0	0	0	0	0.051	0.002	0.117	0.119	0.55	0.72
0	50	0	0	0.0214559	7.70816	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.586	0.755
100	50	0	0	0.0177594	7.6904	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.531	0.7
0	50	0	0	0.0163137	7.67408	0	0	0	0	0	0	0.052	0.001	0.118	0.119	0.556	0.727
100	50	0	0	0.0130845	7.661	0	0	0	0	0	0	0.052	0.001	0.127	0.128	0.533	0.713
0	50	0	1	0.0408527	7.70185	0	0	0	0	0	0	0.051	0.002	0.117	0.119	0.558	0.728
100	50	0	0	0.00242445	7.70428	0	0	0	0	0	0	0.051	0.001	0.116	0.117	0.541	0.709
0	50	0	0	0.0250073	7.67927	0	0	0	0	0	0	0.051	0.001	0.127	0.128	0.531	0.71
100	50	0	0	0.00312715	7.67614	0	0	0	0	0	0	0.05	0.001	0.118	0.119	0.563	0.732
